month;mort_pad_att;UF;capital;regiao
2000 Jan;3,95;RO;Porto Velho;Norte
2000 Feb;2,4;RO;Porto Velho;Norte
2000 Mar;4,7;RO;Porto Velho;Norte
2000 Apr;2,14;RO;Porto Velho;Norte
2000 May;4,12;RO;Porto Velho;Norte
2000 Jun;2,7;RO;Porto Velho;Norte
2000 Jul;5,27;RO;Porto Velho;Norte
2000 Aug;5,23;RO;Porto Velho;Norte
2000 Sep;4,12;RO;Porto Velho;Norte
2000 Oct;2,8;RO;Porto Velho;Norte
2000 Nov;2,27;RO;Porto Velho;Norte
2000 Dec;5,81;RO;Porto Velho;Norte
2001 Jan;0,99;RO;Porto Velho;Norte
2001 Feb;1,84;RO;Porto Velho;Norte
2001 Mar;2,68;RO;Porto Velho;Norte
2001 Apr;1,46;RO;Porto Velho;Norte
2001 May;1,18;RO;Porto Velho;Norte
2001 Jun;4,22;RO;Porto Velho;Norte
2001 Jul;4,53;RO;Porto Velho;Norte
2001 Aug;2,89;RO;Porto Velho;Norte
2001 Sep;3,62;RO;Porto Velho;Norte
2001 Oct;1,22;RO;Porto Velho;Norte
2001 Nov;2,71;RO;Porto Velho;Norte
2001 Dec;3,58;RO;Porto Velho;Norte
2002 Jan;1,48;RO;Porto Velho;Norte
2002 Feb;3,22;RO;Porto Velho;Norte
2002 Mar;3,34;RO;Porto Velho;Norte
2002 Apr;3,06;RO;Porto Velho;Norte
2002 May;5,17;RO;Porto Velho;Norte
2002 Jun;2,77;RO;Porto Velho;Norte
2002 Jul;4,61;RO;Porto Velho;Norte
2002 Aug;4,67;RO;Porto Velho;Norte
2002 Sep;0,65;RO;Porto Velho;Norte
2002 Oct;2,49;RO;Porto Velho;Norte
2002 Nov;2,7;RO;Porto Velho;Norte
2002 Dec;3,41;RO;Porto Velho;Norte
2003 Jan;4,33;RO;Porto Velho;Norte
2003 Feb;1,62;RO;Porto Velho;Norte
2003 Mar;1,93;RO;Porto Velho;Norte
2003 Apr;2,78;RO;Porto Velho;Norte
2003 May;1,46;RO;Porto Velho;Norte
2003 Jun;2,47;RO;Porto Velho;Norte
2003 Jul;2,91;RO;Porto Velho;Norte
2003 Aug;3,09;RO;Porto Velho;Norte
2003 Sep;3,66;RO;Porto Velho;Norte
2003 Oct;2,72;RO;Porto Velho;Norte
2003 Nov;3,13;RO;Porto Velho;Norte
2003 Dec;0,45;RO;Porto Velho;Norte
